Nama Objek,Tgl Penilaian,Alamat,RT/RW,Desa,Kecamatan,Kota,Provinsi,Koordinat,Jumlah Satuan,Luas Tanah,Luas Bangunan,Indikasi Nilai Tanah,Nilai Objek,Total Nilai,Klasifikasi,Jenis_Objek,Jenis Objek Lainnya,Tujuan Penilaian,Tujuan Penilaian Lainnya,Pendekatan Penilaian,Pendekatan Penilaian Lainnya,Metode Penilaian1,Metode Penilaian Lainnya1,Metode Penilaian2,Metode Penilaian Lainnya2,Dasar Nilai,Dasar Nilai Lainnya,KJPP,Nomor Laporan,Penanda Tangan,Latitude,Longitude,Full Address,Check Lat,Check Long,Check Coord,Dist to Mean,Dist to Check,Cluster,Cluster No.,Cluster Mean,Cluster Std Dev,Gap to Mean,% Std Dev
Rumah Tinggal,15 Juli 2021,"Perumahan Puri Beta 1, Jalan Tanjung V Blok B7 No. 3",000/000,Larangan Utara,Larangan,Kota Tangerang,Banten,"-6.22519, 106.7236283",1,108,150,9230000.0,"Rp996.840.000,00","Rp996.840.000,00",Properti,Rumah Tinggal,(NULL),Lelang,(NULL),Pendekatan Biaya,(NULL),Lainnya,metode biaya pengganti terdepresiasi,(NULL),(NULL),Nilai Pasar,(NULL),"Romulo, Charlie & Rekan",00047/2.0032-03/PI/07/00549/1/VII/2021,"Susana Ida Setianingrum, S.HUT.",-6.22519,106.7236283,"Perumahan Puri Beta 1, Jalan Tanjung V Blok B7 No. 3 Larangan Utara Larangan Kota Tangerang",-6.227651,106.7221377,"-6.227651 , 106.7221377",7.049722128580513,0.3182460519003368,30,30,6449354.838709678,1689418.1355008415,2780645.1612903224,164.59188538697543
Rumah Tinggal,15 Januari 2021,Perumahan Mutiara Elok Blok B No. 32,-,Kreo Selatan,Larangan,Kota Tangerang,Banten,"-6.2387817, 106.7426413",1,90,36,8100000.0,"Rp757.800.000,00","Rp757.800.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),Iwan Bachron dan Rekan,00065/2.0047-12/PI/07/0508/1/i/2021,"Sahri Wahyudi, S.P.",-6.2387817,106.7426413,Perumahan Mutiara Elok Blok B No. 32 Kreo Selatan Larangan Kota Tangerang,-6.2388868,106.7411465,"-6.2388868 , 106.7411465",9.605523324798677,0.1658292256156196,18,18,6633093.885714286,1570231.2156777643,1466906.114285714,93.4197524313353
Rumah Tinggal,20 Januari 2021,"Komplek Perumahan Poris Indah, Cluster Grand Poris, Blok AA-8, No. 10",-,Cipondoh Indah,Cipondoh,Kota Tangerang,Banten,"-6.173523, 106.6829373",1,72,46,9280000.0,"Rp792.360.000,00","Rp792.360.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),Lainnya,-,Nilai Pasar,(NULL),Ayon Suherman & Rekan,00066/2.0028-00/PI/07/0155/1/I/2021,"Ayon Suherman, S.E.",-6.173523,106.6829373,"Komplek Perumahan Poris Indah, Cluster Grand Poris, Blok AA-8, No. 10 Cipondoh Indah Cipondoh Kota Tangerang",-6.1760328,106.6866881,"-6.1760328 , 106.6866881",3.2812646559646628,0.4993680869630576,2,2,8572766.28,1896076.5830944942,707233.7200000007,37.2998499272513
Rumah Tinggal,22 Februari 2021,Perumahan Duren Village Blok C-4 No. 12C,000/000,Sudimara Selatan,Ciledug,Kota Tangerang,Banten,"-6.2310587, 106.6917163",1,144,161,3018823.0,"Rp890.600.000,00","Rp890.600.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),Nilai Pasar,(NULL),Febriman Siregar dan Rekan,00069/2.0109-00/PI/04/0288/1/V/2021,"Febriman Muda Siregar, M.M.",-6.2310587,106.6917163,Perumahan Duren Village Blok C-4 No. 12C Sudimara Selatan Ciledug Kota Tangerang,-6.2280333,106.6935339,"-6.2280333 , 106.6935339",4.636977769054161,0.3903819201675592,35,35,8820946.5,2624117.673722146,-5802123.5,221.1075958255352
Rumah Tinggal,8 Februari 2021,"Perumahan Banjar Wijaya, Cluster Lantana, Jl. Lantana Blok A VII No.10, Kel. Poris Plawad, Kec. Cipondoh, Kota Tangerang, Banten",000/000,Poris Plawad,Cipondoh,Kota Tangerang,Banten,"-6.191068, 106.6564",1,240,189,6680000.0,"Rp2.065.000.000,00","Rp2.065.000.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,Perbandingan Data Pasar dan Biaya Pengganti Baru yang di Terdepresiasi,(NULL),(NULL),Nilai Pasar,(NULL),"Sarwono, Indriasari dan Rekan",00084/2.0156-00/PI/07/0011/1/II/2021,Drs. Sarwono,-6.191068,106.6564,"Perumahan Banjar Wijaya, Cluster Lantana, Jl. Lantana Blok A VII No.10, Kel. Poris Plawad, Kec. Cipondoh, Kota Tangerang",-6.1912037,106.6557165,"-6.1912037 , 106.6557165",1.3094231995705747,0.0771202032595905,5,5,7818947.555555556,1763031.8506959933,-1138947.555555556,64.60164375963672
Rumah Tinggal,20 Januari 2021,"Perum. Victoria Park Residence, Jalan Sport Club Blok E 1 No. 18",-,Nusa Jaya,Karawaci,Kota Tangerang,Banten,"-6.1980057, 106.6178693",1,318,240,8900000.0,"Rp3.430.200.000,00","Rp3.430.200.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),Iwan Bachron dan Rekan,00089/2.0047-12/PI/07/0508/1/i/2021,"Sahri Wahyudi, S.P.",-6.1980057,106.6178693,"Perum. Victoria Park Residence, Jalan Sport Club Blok E 1 No. 18 Nusa Jaya Karawaci Kota Tangerang",-6.1979317,106.6171733,"-6.1979317 , 106.6171733",5.332752238598711,0.0774619763768894,29,29,6739746.826086956,2589778.173644093,2160253.173913044,83.41460268287528
Rumah Tinggal,26 Januari 2021,"Perumahan Banjar Wijaya, Jalan Kemuning, Blok A-29, No. 16",-,Poris Plawad,Cipondoh,Kota Tangerang,Banten,"-6.188551, 106.6557323",1,300,231,7330000.0,"Rp2.892.000.000,00","Rp2.892.000.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),Lainnya,-,Nilai Pasar,(NULL),Ayon Suherman & Rekan,00090/2.0028-00/PI/07/0155/1/I/2021,"Ayon Suherman, S.E.",-6.188551,106.6557323,"Perumahan Banjar Wijaya, Jalan Kemuning, Blok A-29, No. 16 Poris Plawad Cipondoh Kota Tangerang",-6.1833245,106.6575659,"-6.1833245 , 106.6575659",1.5417051535651145,0.6125747843792188,5,5,7818947.555555556,1763031.8506959933,-488947.55555555597,27.73333648864788
Rumah Tinggal,23 Februari 2021,"Perumahan Lippo Village Utara, Cluster Taman Singosari, Jl. Nias No.35, Kel. Panunggangan Barat, Kec. Cibodas, Kota Tangerang, Banten",000/000,Panunggangan Barat,Cibodas,Kota Tangerang,Banten,"-6.216638, 106.6230803",1,171,122,7100000.0,"Rp1.552.000.000,00","Rp1.552.000.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,Perbandingan Data Pasar dan Biaya Pengganti Baru yang di Terdepresiasi,(NULL),(NULL),Nilai Pasar,(NULL),"Sarwono, Indriasari dan Rekan",00097/2.0156-00/PI/07/0011/1/II/2021,Drs. Sarwono,-6.216638,106.6230803,"Perumahan Lippo Village Utara, Cluster Taman Singosari, Jl. Nias No.35, Kel. Panunggangan Barat, Kec. Cibodas, Kota Tangerang",-6.2175856,106.6228806,"-6.2175856 , 106.6228806",5.187184762578011,0.1070976697561201,15,15,8799958.095238095,2517087.6141302744,-1699958.0952380951,67.53670733171833
Rumah Tinggal,28 Januari 2021,"Perumahan Graha Raya Bintaro, Cluster Fortune Spring, Jalan Fortune Spring Utama, Blok D2/A No. 03",-,Tajur,Ciledug,Kota Tangerang,Banten,"-6.233325, 106.6901183",1,105,71,8850000.0,"Rp1.149.350.000,00","Rp1.149.350.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),Lainnya,-,Nilai Pasar,(NULL),Ayon Suherman & Rekan,00098/2.0028-00/PI/07/0155/1/I/2021,"Ayon Suherman, S.E.",-6.233325,106.6901183,"Perumahan Graha Raya Bintaro, Cluster Fortune Spring, Jalan Fortune Spring Utama, Blok D2/A No. 03 Tajur Ciledug Kota Tangerang",-6.232956,106.6897585,"-6.232956 , 106.6897585",4.735863965046461,0.0570142682905216,35,35,8820946.5,2624117.673722146,29053.5,1.1071721474589755
Rumah Tinggal,3 November 2021,"Perumahan Modernland, Jl Pulau Puteri IV. Blok B-3 No.24",000/000,Kelapa Indah,Tangerang,Kota Tangerang,Banten,"-6.2020947, 106.6351313",1,180,164,7700000.0,"Rp1.730.700.000,00","Rp1.730.700.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,biaya pengganti terdepresiasi,(NULL),(NULL),Nilai Pasar,(NULL),"Romulo, Charlie & Rekan",00103/2.0032-03/PI/07/00549/1/XI/2021,"Susana Ida Setianingrum, S.HUT.",-6.2020947,106.6351313,"Perumahan Modernland, Jl Pulau Puteri IV. Blok B-3 No.24 Kelapa Indah Tangerang Kota Tangerang",-6.2026203,106.6356042,"-6.2026203 , 106.6356042",3.453389930589235,0.0782152476712825,39,39,8452731.0,1821523.9229028204,-752731.0,41.32424452600279
Rumah Tinggal,5 Februari 2021,"Perumahan Cimone Permai, Jalan Cimone Delta Raya No.30,",001/002,Cibodas,Cibodas,Kota Tangerang,Banten,"-6.197436, 106.6076263",1,310,200,5081000.0,"Rp1.984.000.000,00","Rp1.984.000.000,00",Properti,Rumah Tinggal,(NULL),Lelang,(NULL),Pendekatan Pendapatan,(NULL),Lainnya,Kalkulasi,Lainnya,Kalkulasi,Nilai Pasar,(NULL),"Rinaldi, Alberth, Baroto dan Rekan",00108/2.0114-00/PI/07/0287/1/II/2021,"Alberth, S.T.",-6.197436,106.6076263,"Perumahan Cimone Permai, Jalan Cimone Delta Raya No.30, Cibodas Cibodas Kota Tangerang",-6.1955308,106.6066876,"-6.1955308 , 106.6066876",6.466586027323102,0.2349117953635394,29,29,6739746.826086956,2589778.173644093,-1658746.826086956,64.04976468517081
Rumah Tinggal,22 Maret 2021,"PERUMAHAN TAMAN MUTIARA BLOK A-20, JALAN HAJI MENCONG",00,Paninggilan Utara,Ciledug,Kota Tangerang,Banten,"-6.2424942, 106.7055323",1,120,100,7550000.0,"Rp1.222.000.000,00","Rp1.222.000.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),Biaya Pengganti,(NULL),Nilai Pasar,(NULL),"Yufrizal, Deny Kamal dan Rekan",00118/2.0138-00/PI/07/0475/1/III/2021,Ir. R. Agung Sumbodho,-6.2424942,106.7055323,"PERUMAHAN TAMAN MUTIARA BLOK A-20, JALAN HAJI MENCONG Paninggilan Utara Ciledug Kota Tangerang",-6.240405,106.7073237,"-6.240405 , 106.7073237",6.587420411749289,0.3044332673614732,24,24,6444425.0,1918666.04658711,1105575.0,57.62206518255627
Rumah Tinggal,2 Februari 2021,"Perumahan Green Lake City, Cluster Amerika Latin, Jalan Amerika Latin 9, No. 3",-,Petir,Cipondoh,Kota Tangerang,Banten,"-6.1872377, 106.7033953",1,230,310,16050000.0,"Rp4.714.500.000,00","Rp4.714.500.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,biaya pengganti,Lainnya,-,Nilai Pasar,(NULL),Ayon Suherman & Rekan,00119/2.0028-00/PI/07/0155/1/II/2021,"Ayon Suherman, S.E.",-6.1872377,106.7033953,"Perumahan Green Lake City, Cluster Amerika Latin, Jalan Amerika Latin 9, No. 3 Petir Cipondoh Kota Tangerang",-6.1857572,106.7043681,"-6.1857572 , 106.7043681",4.298045947823499,0.1959526239447326,6,6,14916578.232142856,4068081.5471434244,1133421.7678571437,27.86133352348907
Rumah Tinggal,26 Januari 2021,Perumahan Taman Villa Meruya Blok H2 No. 38,004/010,Karang Mulya,Karang Tengah,Kota Tangerang,Banten,"-6.2079077, 106.7213243",1,200,267,11400000.0,"Rp3.107.700.000,00","Rp3.107.700.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),Iwan Bachron dan Rekan,00124/2.0047-12/PI/07/0508/1/i/2021,"Sahri Wahyudi, S.P.",-6.2079077,106.7213243,Perumahan Taman Villa Meruya Blok H2 No. 38 Karang Mulya Karang Tengah Kota Tangerang,-6.2097679,106.7207639,"-6.2097679 , 106.7207639",6.215942500294367,0.2148601884876432,26,26,10254765.476190476,1964633.2656748195,1145234.5238095243,58.29253448053344
Rumah Tinggal,19 Mei 2021,Perumahan Panorama Cibodas Blok C No. 9 Sangiang Jaya Periuk KOTA TANGERANG PROV. BANTEN 15131,000/000,Sangiang Jaya,Periuk,Kota Tangerang,Banten,"-6.1777019, 106.5886297",1,96,"118,50",3722000.0,"Rp563.000.000,00","Rp563.000.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Pendapatan,(NULL),Lainnya,perbandingan data pasar,Lainnya,biaya pengganti baru,Nilai Pasar,(NULL),Gunawan dan Rekan,00133/2.0136-00/PI/07/0018/1/v/2021,Ir. Philipus Gunawan Eka Sutanta,-6.1777019,106.5886297,Perumahan Panorama Cibodas Blok C No. 9 Sangiang Jaya Periuk Kota Tangerang,-6.1773988,106.5947458,"-6.1773988 , 106.5947458",8.855648454800065,0.677743246207551,27,27,4788316.971428571,1264911.7143884806,-1066316.9714285713,84.29971509466812
Rumah Tinggal,10 November 2021,Perumahan Keroncong Permai Blok EP 20 No. 21,011/002,Keroncong,Jati Uwung,Kota Tangerang,Banten,"-6.184506, 106.586335",1,60,180,3800000.0,"Rp705.500.000,00","Rp705.500.000,00",Properti,Rumah Tinggal,(NULL),Lelang,(NULL),Pendekatan Biaya,(NULL),Lainnya,biaya pengganti terdepresiasi,(NULL),(NULL),Nilai Pasar,(NULL),"Romulo, Charlie & Rekan",00134/2.0032-03/PI/07/00549/1/XII/2021,"Susana Ida Setianingrum, S.HUT.",-6.184506,106.586335,Perumahan Keroncong Permai Blok EP 20 No. 21 Keroncong Jati Uwung Kota Tangerang,-6.1855102,106.5862922,"-6.1855102 , 106.5862922",8.946565833395209,0.1111526129388985,0,0,4319648.108695652,886849.0746292298,-519648.10869565234,58.594875223036645
Rumah Tinggal,10 November 2021,"Perumahan Keroncong Village Blok D1 No. 20, Jalan Bima Suci 1",000/000,Keroncong,Jati Uwung,Kota Tangerang,Banten,"-6.182014, 106.585752",1,60,60,3700000.0,"Rp287.200.000,00","Rp287.200.000,00",Properti,Rumah Tinggal,(NULL),Lelang,(NULL),Pendekatan Biaya,(NULL),Lainnya,biaya pengganti terdepresiasi,(NULL),(NULL),Nilai Pasar,(NULL),"Romulo, Charlie & Rekan",00135/2.0032-03/PI/07/00549/1/XII/2021,"Susana Ida Setianingrum, S.HUT.",-6.182014,106.585752,"Perumahan Keroncong Village Blok D1 No. 20, Jalan Bima Suci 1 Keroncong Jati Uwung Kota Tangerang",-6.1827926,106.5834901,"-6.1827926 , 106.5834901",9.059650747877605,0.2647325089511487,0,0,4319648.108695652,886849.0746292298,-619648.1086956523,69.87075100176568
Rumah Tinggal,5 Februari 2021,"Perumahan Green Lake City, Cluster East Esia, Jalan East Esia 5C, No. 20",-,Gondrong,Cipondoh,Kota Tangerang,Banten,"-6.194859, 106.6978493",1,48,64,16050000.0,"Rp981.600.000,00","Rp981.600.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,biaya pengganti,Lainnya,-,Nilai Pasar,(NULL),Ayon Suherman & Rekan,00144/2.0028-00/PI/07/0155/1/II/2021,"Ayon Suherman, S.E.",-6.194859,106.6978493,"Perumahan Green Lake City, Cluster East Esia, Jalan East Esia 5C, No. 20 Gondrong Cipondoh Kota Tangerang",-6.1940349,106.6963937,"-6.1940349 , 106.6963937",3.535076587435022,0.1850885548235473,10,10,9857810.160714285,5167021.857088601,6192189.839285715,119.8405969734905
Rumah Tinggal,20 Januari 2021,Perumahan Pondok Makmur Jalan Makmur Blok.C-10 No.6,000/00,Gebang Raya,Periuk,Kota Tangerang,Banten,"-6.1802147, 106.5881153",1,103,108,5166667.0,"Rp878.640.000,00","Rp878.640.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),Teguh Hermawan Yusuf & Rekan,00155/2.0009-00/PI/07/0020/1/2021,Teguh Hermawan,-6.1802147,106.5881153,Perumahan Pondok Makmur Jalan Makmur Blok.C-10 No.6 Gebang Raya Periuk Kota Tangerang,-6.1838006,106.5896852,"-6.1838006 , 106.5896852",8.845117449674706,0.4329490069698361,0,0,4319648.108695652,886849.0746292298,847018.8913043477,95.50879800584624
